Device Name,T1
Device Model,Kestrel DROP 2
Serial Number,2822259
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,%,°F,°F
2024-06-17 12:40:00 PM,70.7,63.4,70.7,57.6,point
2024-06-17 12:50:00 PM,71.7,61.2,71.6,57.6,point
2024-06-17 01:00:00 PM,72.8,58.4,72.5,57.4,point
2024-06-17 01:10:00 PM,74.2,57.2,73.8,58.1,point
2024-06-17 01:20:00 PM,74.2,54.8,73.4,56.9,point
2024-06-17 01:30:00 PM,75.5,54.0,74.7,57.7,point
2024-06-17 01:40:00 PM,75.9,54.1,75.0,58.1,point
2024-06-17 01:50:00 PM,76.3,54.3,75.6,58.6,point
2024-06-17 02:00:00 PM,76.8,54.8,75.9,59.3,point
2024-06-17 02:10:00 PM,77.5,53.8,76.8,59.5,point
2024-06-17 02:20:00 PM,78.6,54.0,78.6,60.6,point
2024-06-17 02:30:00 PM,79.0,52.1,78.8,60.0,point
2024-06-17 02:40:00 PM,79.2,51.6,79.0,59.8,point
2024-06-17 02:50:00 PM,79.2,53.0,79.2,60.6,point
2024-06-17 03:00:00 PM,78.5,54.4,78.4,60.7,point
2024-06-17 03:10:00 PM,77.0,56.5,76.3,60.3,point
2024-06-17 03:20:00 PM,78.0,55.5,77.9,60.7,point
2024-06-17 03:30:00 PM,78.0,55.9,77.9,60.9,point
2024-06-17 03:40:00 PM,78.5,56.2,78.6,61.6,point
2024-06-17 03:50:00 PM,78.3,55.9,78.4,61.2,point
2024-06-17 04:00:00 PM,78.9,55.5,79.2,61.6,point
2024-06-17 04:10:00 PM,79.9,54.8,80.2,62.2,point
2024-06-17 04:20:00 PM,80.8,52.8,81.5,62.0,point
2024-06-17 04:30:00 PM,81.4,52.3,82.0,62.3,point
2024-06-17 04:40:00 PM,81.4,52.1,82.0,62.2,point
2024-06-17 04:50:00 PM,81.2,52.5,81.9,62.2,point
2024-06-17 05:00:00 PM,81.7,52.2,82.4,62.4,point
2024-06-17 05:10:00 PM,81.1,52.9,81.7,62.2,point
2024-06-17 05:20:00 PM,80.4,54.7,81.0,62.6,point
2024-06-17 05:30:00 PM,79.8,55.3,80.4,62.3,point
2024-06-17 05:40:00 PM,80.2,55.7,81.0,63.0,point
2024-06-17 05:50:00 PM,82.5,51.6,83.3,62.9,point
2024-06-17 06:00:00 PM,82.8,51.1,84.0,62.8,point
2024-06-17 06:10:00 PM,82.3,51.5,83.1,62.6,point
2024-06-17 06:20:00 PM,84.5,50.8,86.7,64.3,point
2024-06-17 06:30:00 PM,84.1,51.4,86.2,64.3,point
2024-06-17 06:40:00 PM,84.2,51.5,86.5,64.4,point
2024-06-17 06:50:00 PM,83.9,51.7,86.0,64.2,point
2024-06-17 07:00:00 PM,81.7,54.5,82.9,63.7,point
2024-06-17 07:10:00 PM,81.5,56.4,82.8,64.5,point
2024-06-17 07:20:00 PM,81.4,57.1,82.9,64.7,point
2024-06-17 07:30:00 PM,81.8,56.4,83.3,64.8,point
2024-06-17 07:40:00 PM,81.6,57.1,83.3,64.9,point
2024-06-17 07:50:00 PM,81.2,58.0,82.9,65.0,point
2024-06-17 08:00:00 PM,80.0,59.9,81.3,64.8,point
2024-06-17 08:10:00 PM,79.4,61.1,80.8,64.8,point
2024-06-17 08:20:00 PM,79.2,61.9,80.6,65.0,point
2024-06-17 08:30:00 PM,78.5,63.0,79.9,64.9,point
2024-06-17 08:40:00 PM,78.1,63.9,79.3,64.9,point
2024-06-17 08:50:00 PM,77.8,65.0,79.0,65.0,point
2024-06-17 09:00:00 PM,77.5,65.7,78.4,65.1,point
2024-06-17 09:10:00 PM,77.1,66.5,77.9,65.0,point
2024-06-17 09:20:00 PM,76.8,66.7,77.4,64.9,point
2024-06-17 09:30:00 PM,76.6,67.1,77.4,64.9,point
2024-06-17 09:40:00 PM,76.4,67.5,76.8,64.8,point
2024-06-17 09:50:00 PM,76.2,68.2,76.8,65.0,point
2024-06-17 10:00:00 PM,76.1,68.5,76.8,65.0,point
2024-06-17 10:10:00 PM,76.0,69.0,76.6,65.0,point
2024-06-17 10:20:00 PM,75.8,69.6,76.6,65.1,point
2024-06-17 10:30:00 PM,75.8,70.1,76.6,65.3,point
2024-06-17 10:40:00 PM,75.7,70.3,76.5,65.3,point
2024-06-17 10:50:00 PM,75.5,70.8,76.5,65.3,point
2024-06-17 11:00:00 PM,75.5,71.1,76.5,65.5,point
2024-06-17 11:10:00 PM,75.3,71.5,76.3,65.5,point
2024-06-17 11:20:00 PM,75.4,71.9,76.5,65.7,point
