Device Name,T29
Device Model,Kestrel DROP 2
Serial Number,2822334
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,%,°F,°F
2023-10-22 04:00:00 AM,77.0,56.8,76.8,60.5,point
2023-10-22 04:10:00 AM,78.0,56.9,78.1,61.5,point
2023-10-22 04:20:00 AM,78.2,55.5,78.1,61.0,point
2023-10-22 04:30:00 AM,79.4,54.8,79.7,61.8,point
2023-10-22 04:40:00 AM,78.8,55.5,79.2,61.5,point
2023-10-22 04:50:00 AM,79.5,54.8,79.7,61.8,point
2023-10-22 05:00:00 AM,79.0,55.4,79.3,61.7,point
2023-10-22 05:10:00 AM,78.1,56.6,78.1,61.4,point
2023-10-22 05:20:00 AM,78.3,56.5,78.4,61.6,point
2023-10-22 05:30:00 AM,78.3,57.5,78.6,62.0,point
2023-10-22 05:40:00 AM,78.5,57.8,79.0,62.4,point
2023-10-22 05:50:00 AM,79.6,56.9,80.4,63.0,point
2023-10-22 06:00:00 AM,80.3,56.4,81.3,63.4,point
2023-10-22 06:10:00 AM,82.0,55.1,83.5,64.3,point
2023-10-22 06:20:00 AM,81.4,55.0,82.4,63.6,point
2023-10-22 06:30:00 AM,82.1,54.6,83.5,64.1,point
2023-10-22 06:40:00 AM,80.4,54.3,81.0,62.4,point
2023-10-22 06:50:00 AM,80.5,55.0,81.1,62.9,point
2023-10-22 07:00:00 AM,80.9,55.1,81.9,63.3,point
2023-10-22 07:10:00 AM,80.5,55.2,81.3,63.0,point
2023-10-22 07:20:00 AM,80.2,56.6,81.0,63.4,point
2023-10-22 07:30:00 AM,79.8,56.7,80.6,63.1,point
2023-10-22 07:40:00 AM,81.4,55.4,82.6,63.9,point
2023-10-22 07:50:00 AM,81.9,55.9,83.5,64.6,point
2023-10-22 08:00:00 AM,82.3,53.7,83.7,63.9,point
2023-10-22 08:10:00 AM,82.2,54.7,83.5,64.2,point
2023-10-22 08:20:00 AM,82.1,54.4,83.5,64.0,point
2023-10-22 08:30:00 AM,82.2,54.4,83.5,64.1,point
2023-10-22 08:40:00 AM,82.2,54.5,83.8,64.2,point
2023-10-22 08:50:00 AM,81.4,56.2,82.8,64.3,point
2023-10-22 09:00:00 AM,81.1,57.5,82.6,64.7,point
2023-10-22 09:10:00 AM,80.9,58.2,82.4,64.8,point
2023-10-22 09:20:00 AM,81.0,59.5,82.9,65.6,point
2023-10-22 09:30:00 AM,80.7,59.6,82.4,65.3,point
2023-10-22 09:40:00 AM,80.3,60.8,82.2,65.5,point
2023-10-22 09:50:00 AM,80.0,61.3,81.7,65.5,point
2023-10-22 10:00:00 AM,79.6,62.0,81.3,65.5,point
2023-10-22 10:10:00 AM,79.2,62.4,80.8,65.2,point
2023-10-22 10:20:00 AM,78.8,63.3,80.1,65.2,point
2023-10-22 10:30:00 AM,78.1,64.5,79.5,65.2,point
2023-10-22 10:40:00 AM,77.5,65.3,78.4,64.9,point
2023-10-22 10:50:00 AM,76.9,67.1,77.7,65.2,point
2023-10-22 11:00:00 AM,76.6,67.8,77.4,65.2,point
2023-10-22 11:10:00 AM,76.1,68.4,76.6,64.9,point
2023-10-22 11:20:00 AM,75.7,69.3,76.5,64.9,point
2023-10-22 11:30:00 AM,75.5,69.5,76.3,64.8,point
2023-10-22 11:40:00 AM,75.7,69.9,76.5,65.2,point
2023-10-22 11:50:00 AM,75.6,70.0,76.5,65.1,point
2023-10-22 12:00:00 PM,75.3,70.6,76.3,65.1,point
2023-10-22 12:10:00 PM,75.1,71.5,76.1,65.2,point
2023-10-22 12:20:00 PM,74.9,72.2,76.1,65.3,point
2023-10-22 12:30:00 PM,75.0,72.3,76.1,65.5,point
2023-10-22 12:40:00 PM,74.9,72.8,76.1,65.5,point
2023-10-22 12:50:00 PM,74.7,73.1,75.9,65.5,point
2023-10-22 01:00:00 PM,74.8,73.8,75.9,65.8,point
2023-10-22 01:10:00 PM,74.6,73.8,75.7,65.7,point
2023-10-22 01:20:00 PM,74.3,74.7,75.4,65.7,point
2023-10-22 01:30:00 PM,73.8,76.2,75.2,65.9,point
2023-10-22 01:40:00 PM,73.0,77.8,74.3,65.7,point
2023-10-22 01:50:00 PM,72.7,79.0,74.1,65.8,point
2023-10-22 02:00:00 PM,72.1,80.8,73.4,65.9,point
2023-10-22 02:10:00 PM,71.5,82.6,72.9,65.9,point
2023-10-22 02:20:00 PM,70.8,83.3,72.1,65.5,point
2023-10-22 02:30:00 PM,70.3,84.6,71.4,65.4,point
2023-10-22 02:40:00 PM,69.6,85.7,70.7,65.1,point
2023-10-22 02:50:00 PM,68.9,87.4,69.8,65.0,point
2023-10-22 03:00:00 PM,68.6,88.0,69.6,64.9,point
2023-10-22 03:10:00 PM,68.2,88.7,69.3,64.7,point
2023-10-22 03:20:00 PM,68.3,88.5,69.3,64.7,point
2023-10-22 03:30:00 PM,68.2,88.2,69.3,64.6,point
2023-10-22 03:40:00 PM,68.2,87.9,69.1,64.5,point
2023-10-22 03:50:00 PM,68.1,87.9,68.9,64.4,point
2023-10-22 04:00:00 PM,67.7,87.8,68.5,64.0,point
2023-10-22 04:10:00 PM,67.5,87.9,68.4,63.8,point
2023-10-22 04:20:00 PM,67.5,87.9,68.4,63.8,point
2023-10-22 04:30:00 PM,67.3,87.9,68.0,63.6,point
2023-10-22 04:40:00 PM,66.9,88.3,67.8,63.4,point
2023-10-22 04:50:00 PM,66.7,89.0,67.3,63.4,point
2023-10-22 05:00:00 PM,66.5,89.2,67.1,63.3,point
2023-10-22 05:10:00 PM,66.4,89.8,67.1,63.3,point
2023-10-22 05:20:00 PM,66.3,89.4,66.9,63.1,point
2023-10-22 05:30:00 PM,66.3,89.9,66.9,63.2,point
2023-10-22 05:40:00 PM,65.9,90.0,66.4,62.9,point
2023-10-22 05:50:00 PM,65.9,90.9,66.6,63.2,point
2023-10-22 06:00:00 PM,65.7,91.5,66.4,63.1,point
2023-10-22 06:10:00 PM,65.5,91.3,66.2,62.9,point
2023-10-22 06:20:00 PM,65.3,91.5,66.0,62.8,point
2023-10-22 06:30:00 PM,65.3,91.8,65.8,62.8,point
2023-10-22 06:40:00 PM,65.5,91.4,66.2,63.0,point
2023-10-22 06:50:00 PM,65.2,92.0,66.0,62.8,point
2023-10-22 07:00:00 PM,64.9,92.2,65.8,62.6,point
2023-10-22 07:10:00 PM,64.7,93.0,65.3,62.6,point
2023-10-22 07:20:00 PM,64.7,93.5,65.3,62.8,point
2023-10-22 07:30:00 PM,64.8,93.7,65.5,63.0,point
2023-10-22 07:40:00 PM,65.1,93.2,66.0,63.1,point
2023-10-22 07:50:00 PM,65.7,92.0,66.6,63.3,point
2023-10-22 08:00:00 PM,65.8,91.8,66.4,63.3,point
2023-10-22 08:10:00 PM,66.3,91.8,67.1,63.8,point
2023-10-22 08:20:00 PM,67.7,90.4,68.7,64.8,point
2023-10-22 08:30:00 PM,68.8,87.3,69.8,64.8,point
2023-10-22 08:40:00 PM,70.2,85.3,71.4,65.6,point
2023-10-22 08:50:00 PM,70.7,83.5,72.1,65.5,point
2023-10-22 09:00:00 PM,71.6,82.2,73.0,65.9,point
