Device Name,T30
Device Model,Kestrel DROP 2
Serial Number,2822331
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,%,°F,°F
2024-06-22 01:30:00 PM,79.2,46.8,78.3,57.2,point
2024-06-22 01:40:00 PM,78.7,45.9,77.4,56.1,point
2024-06-22 01:50:00 PM,78.2,41.8,76.3,53.1,point
2024-06-22 02:00:00 PM,77.3,42.4,75.2,52.7,point
2024-06-22 02:10:00 PM,77.4,43.5,75.6,53.5,point
2024-06-22 02:20:00 PM,77.7,43.1,75.7,53.5,point
2024-06-22 02:30:00 PM,76.4,39.9,73.9,50.3,point
2024-06-22 02:40:00 PM,78.5,42.6,76.8,53.9,point
2024-06-22 02:50:00 PM,78.1,41.2,76.1,52.6,point
2024-06-22 03:00:00 PM,77.3,43.4,75.4,53.3,point
2024-06-22 03:10:00 PM,77.7,41.6,75.7,52.6,point
2024-06-22 03:20:00 PM,78.4,42.7,76.5,53.9,point
2024-06-22 03:30:00 PM,78.2,44.6,76.5,54.9,point
2024-06-22 03:40:00 PM,77.8,43.8,76.1,54.0,point
2024-06-22 03:50:00 PM,78.0,43.4,76.3,54.0,point
2024-06-22 04:00:00 PM,78.2,45.2,76.6,55.2,point
2024-06-22 04:10:00 PM,77.6,44.7,75.9,54.4,point
2024-06-22 04:20:00 PM,77.2,47.2,75.9,55.6,point
2024-06-22 04:30:00 PM,77.0,45.5,75.4,54.4,point
2024-06-22 04:40:00 PM,77.1,44.1,75.2,53.6,point
2024-06-22 04:50:00 PM,77.2,48.7,76.1,56.4,point
2024-06-22 05:00:00 PM,77.0,46.2,75.4,54.8,point
2024-06-22 05:10:00 PM,76.3,45.5,74.7,53.7,point
2024-06-22 05:20:00 PM,76.4,44.8,74.5,53.4,point
2024-06-22 05:30:00 PM,76.2,43.6,74.3,52.5,point
2024-06-22 05:40:00 PM,76.1,40.9,73.9,50.6,point
2024-06-22 05:50:00 PM,76.3,40.0,74.1,50.3,point
2024-06-22 06:00:00 PM,76.3,39.6,73.9,49.9,point
2024-06-22 06:10:00 PM,75.7,41.7,73.4,50.8,point
2024-06-22 06:20:00 PM,75.6,41.9,73.6,50.8,point
2024-06-22 06:30:00 PM,75.1,42.5,73.2,50.8,point
2024-06-22 06:40:00 PM,75.1,45.0,73.6,52.4,point
2024-06-22 06:50:00 PM,74.8,47.5,73.4,53.6,point
2024-06-22 07:00:00 PM,74.6,45.9,73.0,52.4,point
2024-06-22 07:10:00 PM,74.3,46.7,72.9,52.6,point
2024-06-22 07:20:00 PM,73.9,48.9,72.7,53.5,point
2024-06-22 07:30:00 PM,73.4,50.5,72.5,53.9,point
2024-06-22 07:40:00 PM,73.0,50.7,72.0,53.6,point
2024-06-22 07:50:00 PM,72.7,52.3,72.0,54.2,point
2024-06-22 08:00:00 PM,72.0,52.0,71.2,53.4,point
2024-06-22 08:10:00 PM,71.5,53.0,70.9,53.5,point
2024-06-22 08:20:00 PM,70.7,57.2,70.2,54.8,point
2024-06-22 08:30:00 PM,70.1,57.2,69.4,54.3,point
2024-06-22 08:40:00 PM,69.4,57.0,68.4,53.5,point
2024-06-22 08:50:00 PM,68.8,59.5,67.8,54.1,point
2024-06-22 09:00:00 PM,68.4,62.8,67.6,55.2,point
2024-06-22 09:10:00 PM,67.9,64.8,67.1,55.6,point
2024-06-22 09:20:00 PM,67.3,64.2,66.2,54.8,point
2024-06-22 09:30:00 PM,66.8,65.4,65.5,54.8,point
2024-06-22 09:40:00 PM,66.3,67.0,64.9,55.0,point
2024-06-22 09:50:00 PM,65.9,67.7,64.6,55.0,point
2024-06-22 10:00:00 PM,65.6,68.5,64.2,54.9,point
2024-06-22 10:10:00 PM,65.5,69.8,64.4,55.4,point
2024-06-22 10:20:00 PM,65.3,71.3,64.0,55.7,point
2024-06-22 10:30:00 PM,65.0,72.5,63.9,56.0,point
2024-06-22 10:40:00 PM,65.0,74.1,64.0,56.6,point
2024-06-22 10:50:00 PM,65.0,74.7,64.0,56.8,point
2024-06-22 11:00:00 PM,64.9,75.5,64.0,57.0,point
2024-06-22 11:10:00 PM,64.9,76.7,64.0,57.4,point
2024-06-22 11:20:00 PM,64.9,76.7,64.0,57.4,point
2024-06-22 11:30:00 PM,64.9,77.3,64.2,57.7,point
2024-06-22 11:40:00 PM,64.9,77.8,64.4,57.8,point
2024-06-22 11:50:00 PM,64.9,78.1,64.2,57.9,point
2024-06-23 12:00:00 AM,64.8,77.5,64.2,57.6,point
2024-06-23 12:10:00 AM,64.8,77.5,64.2,57.6,point
2024-06-23 12:20:00 AM,64.8,75.9,64.0,57.0,point
2024-06-23 12:30:00 AM,64.9,76.1,64.0,57.2,point
2024-06-23 12:40:00 AM,65.0,75.6,64.2,57.1,point
2024-06-23 12:50:00 AM,65.0,76.3,64.2,57.4,point
2024-06-23 01:00:00 AM,65.2,78.3,64.6,58.3,point
2024-06-23 01:10:00 AM,65.2,79.0,64.8,58.5,point
2024-06-23 01:20:00 AM,65.1,79.7,64.8,58.7,point
2024-06-23 01:30:00 AM,65.1,80.8,64.9,59.1,point
2024-06-23 01:40:00 AM,65.1,81.5,64.8,59.3,point
2024-06-23 01:50:00 AM,65.0,82.1,64.8,59.4,point
2024-06-23 02:00:00 AM,64.9,82.6,64.8,59.5,point
2024-06-23 02:10:00 AM,64.8,83.0,64.8,59.5,point
2024-06-23 02:20:00 AM,64.7,83.5,64.6,59.6,point
2024-06-23 02:30:00 AM,64.6,84.1,64.6,59.7,point
2024-06-23 02:40:00 AM,64.6,84.5,64.6,59.9,point
2024-06-23 02:50:00 AM,64.5,85.0,64.4,59.9,point
2024-06-23 03:00:00 AM,64.5,85.6,64.4,60.0,point
2024-06-23 03:10:00 AM,64.4,86.0,64.4,60.1,point
2024-06-23 03:20:00 AM,64.6,87.4,64.6,60.7,point
2024-06-23 03:30:00 AM,64.2,89.1,64.6,61.0,point
2024-06-23 03:40:00 AM,64.2,90.0,64.6,61.2,point
2024-06-23 03:50:00 AM,64.3,90.4,64.8,61.4,point
2024-06-23 04:00:00 AM,64.3,90.3,64.8,61.4,point
2024-06-23 04:10:00 AM,64.2,90.7,64.6,61.4,point
2024-06-23 04:20:00 AM,64.2,91.3,64.8,61.7,point
2024-06-23 04:30:00 AM,64.4,92.1,65.1,62.1,point
2024-06-23 04:40:00 AM,64.2,93.0,64.9,62.2,point
2024-06-23 04:50:00 AM,64.2,93.6,64.9,62.4,point
2024-06-23 05:00:00 AM,64.3,94.5,65.1,62.7,point
2024-06-23 05:10:00 AM,64.9,94.3,65.7,63.2,point
2024-06-23 05:20:00 AM,65.2,93.3,66.0,63.2,point
2024-06-23 05:30:00 AM,65.2,93.3,66.0,63.2,point
2024-06-23 05:40:00 AM,65.0,94.3,66.0,63.3,point
2024-06-23 05:50:00 AM,64.9,94.6,65.7,63.3,point
2024-06-23 06:00:00 AM,64.9,95.1,65.7,63.4,point
2024-06-23 06:10:00 AM,64.8,95.8,65.8,63.5,point
2024-06-23 06:20:00 AM,64.8,96.3,65.8,63.7,point
2024-06-23 06:30:00 AM,64.6,96.7,65.7,63.7,point
2024-06-23 06:40:00 AM,64.6,97.0,65.7,63.7,point
2024-06-23 06:50:00 AM,64.7,97.2,65.7,63.9,point
2024-06-23 07:00:00 AM,64.8,97.6,66.0,64.1,point
2024-06-23 07:10:00 AM,64.6,97.6,65.8,63.9,point
2024-06-23 07:20:00 AM,64.6,97.8,65.8,64.0,point
2024-06-23 07:30:00 AM,64.6,97.9,65.7,64.0,point
2024-06-23 07:40:00 AM,64.5,98.0,65.7,63.9,point
2024-06-23 07:50:00 AM,64.8,98.3,66.0,64.3,point
2024-06-23 08:00:00 AM,64.7,98.4,65.8,64.2,point
2024-06-23 08:10:00 AM,64.3,98.0,65.5,63.7,point
2024-06-23 08:20:00 AM,64.1,97.7,65.3,63.5,point
2024-06-23 08:30:00 AM,63.9,97.5,65.1,63.2,point
2024-06-23 08:40:00 AM,63.5,97.8,64.8,62.9,point
2024-06-23 08:50:00 AM,63.1,97.5,64.2,62.4,point
2024-06-23 09:00:00 AM,62.6,97.3,63.7,61.8,point
2024-06-23 09:10:00 AM,62.4,98.0,63.5,61.8,point
2024-06-23 09:20:00 AM,61.8,98.0,63.0,61.2,point
2024-06-23 09:30:00 AM,61.3,97.5,62.4,60.6,point
2024-06-23 09:40:00 AM,61.0,98.0,61.9,60.4,point
2024-06-23 09:50:00 AM,60.7,98.5,61.7,60.3,point
2024-06-23 10:00:00 AM,60.4,98.8,61.3,60.0,point
2024-06-23 10:10:00 AM,60.5,99.3,61.5,60.4,point
2024-06-23 10:20:00 AM,60.5,99.6,61.7,60.4,point
2024-06-23 10:30:00 AM,60.6,99.6,61.9,60.5,point
2024-06-23 10:40:00 AM,60.9,99.5,62.1,60.7,point
2024-06-23 10:50:00 AM,61.0,99.4,62.1,60.8,point
2024-06-23 11:00:00 AM,61.2,99.3,62.4,61.0,point
2024-06-23 11:10:00 AM,61.1,99.1,62.2,60.9,point
2024-06-23 11:20:00 AM,61.1,98.8,62.2,60.7,point
2024-06-23 11:30:00 AM,61.4,99.0,62.6,61.1,point
2024-06-23 11:40:00 AM,61.5,99.0,62.8,61.2,point
2024-06-23 11:50:00 AM,61.6,98.6,62.8,61.1,point
2024-06-23 12:00:00 PM,61.3,98.6,62.4,60.9,point
2024-06-23 12:10:00 PM,61.4,99.0,62.6,61.1,point
2024-06-23 12:20:00 PM,61.4,99.5,62.8,61.3,point
2024-06-23 12:30:00 PM,61.7,99.5,63.0,61.5,point
2024-06-23 12:40:00 PM,61.7,99.5,63.0,61.5,point
2024-06-23 12:50:00 PM,61.5,99.2,62.8,61.3,point
2024-06-23 01:00:00 PM,61.4,99.1,62.6,61.1,point
2024-06-23 01:10:00 PM,61.2,99.1,62.4,61.0,point
2024-06-23 01:20:00 PM,61.2,99.2,62.4,61.0,point
2024-06-23 01:30:00 PM,61.3,99.2,62.4,61.1,point
