Device Name,T33
Device Model,Kestrel DROP 2
Serial Number,2815074
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,%,°F,°F
2024-06-17 02:00:00 PM,78.4,53.9,78.1,60.3,point
2024-06-17 02:10:00 PM,77.9,53.6,77.4,59.7,point
2024-06-17 02:20:00 PM,77.0,55.6,76.6,59.9,point
2024-06-17 02:30:00 PM,77.1,55.3,76.6,59.8,point
2024-06-17 02:40:00 PM,78.3,54.4,78.3,60.5,point
2024-06-17 02:50:00 PM,78.9,54.2,79.0,61.0,point
2024-06-17 03:00:00 PM,77.4,55.3,77.2,60.1,point
2024-06-17 03:10:00 PM,78.1,56.3,78.1,61.3,point
2024-06-17 03:20:00 PM,78.0,56.3,77.9,61.2,point
2024-06-17 03:30:00 PM,78.4,55.9,78.4,61.4,point
2024-06-17 03:40:00 PM,78.3,56.3,78.4,61.5,point
2024-06-17 03:50:00 PM,78.5,56.6,78.6,61.8,point
2024-06-17 04:00:00 PM,78.6,57.5,79.0,62.3,point
2024-06-17 04:10:00 PM,80.8,55.4,81.9,63.3,point
2024-06-17 04:20:00 PM,81.9,52.1,82.8,62.6,point
2024-06-17 04:30:00 PM,79.9,53.1,79.9,61.2,point
2024-06-17 04:40:00 PM,81.4,55.9,82.6,64.1,point
2024-06-17 04:50:00 PM,82.3,53.1,83.5,63.5,point
2024-06-17 05:00:00 PM,82.4,51.8,83.3,62.9,point
2024-06-17 05:10:00 PM,83.6,50.5,85.1,63.2,point
2024-06-17 05:20:00 PM,80.7,53.8,81.3,62.4,point
2024-06-17 05:30:00 PM,80.9,55.5,81.9,63.5,point
2024-06-17 05:40:00 PM,81.4,55.2,82.6,63.8,point
2024-06-17 05:50:00 PM,83.2,51.6,84.6,63.6,point
2024-06-17 06:00:00 PM,82.7,52.0,83.8,63.3,point
2024-06-17 06:10:00 PM,81.8,54.5,82.9,63.8,point
