Device Name,T43
Device Model,Kestrel DROP 2
Serial Number,2822349
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,%,°F,°F
2024-06-17 12:20:00 PM,68.6,69.1,68.4,58.1,point
2024-06-17 12:30:00 PM,69.4,68.9,69.3,58.7,point
2024-06-17 12:40:00 PM,70.3,66.6,70.3,58.7,point
2024-06-17 12:50:00 PM,71.0,64.6,71.2,58.4,point
2024-06-17 01:00:00 PM,71.0,63.2,71.2,57.9,point
2024-06-17 01:10:00 PM,72.2,63.1,72.5,58.9,point
2024-06-17 01:20:00 PM,73.2,62.4,73.4,59.6,point
2024-06-17 01:30:00 PM,73.7,60.9,73.6,59.4,point
2024-06-17 01:40:00 PM,74.7,60.2,74.7,60.0,point
2024-06-17 01:50:00 PM,75.5,59.2,75.2,60.3,point
2024-06-17 02:00:00 PM,76.3,59.3,76.1,61.0,point
2024-06-17 02:10:00 PM,76.3,58.9,76.1,60.9,point
2024-06-17 02:20:00 PM,77.0,59.1,77.0,61.7,point
2024-06-17 02:30:00 PM,77.4,57.1,77.4,61.0,point
2024-06-17 02:40:00 PM,78.2,57.0,78.3,61.8,point
2024-06-17 02:50:00 PM,76.9,55.6,76.3,59.8,point
2024-06-17 03:00:00 PM,77.1,58.1,76.8,61.3,point
2024-06-17 03:10:00 PM,77.0,58.6,77.0,61.4,point
2024-06-17 03:20:00 PM,77.2,58.4,77.0,61.5,point
2024-06-17 03:30:00 PM,76.9,58.9,76.6,61.5,point
2024-06-17 03:40:00 PM,77.1,59.2,77.0,61.8,point
2024-06-17 03:50:00 PM,77.7,59.3,77.9,62.3,point
2024-06-17 04:00:00 PM,77.9,58.9,78.3,62.4,point
2024-06-17 04:10:00 PM,78.7,58.1,79.2,62.8,point
2024-06-17 04:20:00 PM,79.6,57.4,80.4,63.2,point
2024-06-17 04:30:00 PM,80.2,55.9,81.0,63.0,point
2024-06-17 04:40:00 PM,79.4,56.1,80.1,62.4,point
2024-06-17 04:50:00 PM,79.5,57.7,80.2,63.2,point
2024-06-17 05:00:00 PM,80.9,56.5,82.0,64.0,point
2024-06-17 05:10:00 PM,80.9,55.1,81.9,63.2,point
2024-06-17 05:20:00 PM,79.7,57.3,80.6,63.3,point
2024-06-17 05:30:00 PM,79.4,58.8,80.4,63.7,point
2024-06-17 05:40:00 PM,79.7,58.4,80.6,63.8,point
2024-06-17 05:50:00 PM,81.8,56.0,83.3,64.6,point
2024-06-17 06:00:00 PM,81.6,54.2,82.8,63.5,point
2024-06-17 06:10:00 PM,81.4,54.8,82.4,63.6,point
2024-06-17 06:20:00 PM,82.2,54.2,83.5,64.0,point
2024-06-17 06:30:00 PM,82.4,54.1,83.7,64.1,point
2024-06-17 06:40:00 PM,82.5,54.3,84.0,64.4,point
2024-06-17 06:50:00 PM,82.6,54.7,84.4,64.7,point
2024-06-17 07:00:00 PM,81.6,56.2,83.1,64.5,point
2024-06-17 07:10:00 PM,80.6,58.4,82.0,64.7,point
2024-06-17 07:20:00 PM,80.8,59.1,82.6,65.2,point
2024-06-17 07:30:00 PM,81.7,57.6,83.7,65.3,point
2024-06-17 07:40:00 PM,81.7,57.7,83.7,65.3,point
2024-06-17 07:50:00 PM,80.7,59.5,82.4,65.2,point
2024-06-17 08:00:00 PM,80.0,61.3,81.7,65.5,point
2024-06-17 08:10:00 PM,79.7,62.3,81.7,65.7,point
2024-06-17 08:20:00 PM,79.2,62.7,80.8,65.4,point
2024-06-17 08:30:00 PM,78.9,63.4,80.4,65.4,point
2024-06-17 08:40:00 PM,78.5,64.9,80.1,65.7,point
2024-06-17 08:50:00 PM,78.0,66.1,79.5,65.8,point
2024-06-17 09:00:00 PM,76.9,68.6,77.9,65.8,point
2024-06-17 09:10:00 PM,76.1,70.7,77.0,65.9,point
2024-06-17 09:20:00 PM,75.9,70.9,77.0,65.8,point
2024-06-17 09:30:00 PM,75.8,71.2,76.8,65.8,point
2024-06-17 09:40:00 PM,75.1,71.9,76.1,65.4,point
2024-06-17 09:50:00 PM,75.3,72.5,76.5,65.9,point
2024-06-17 10:00:00 PM,74.8,74.0,75.9,65.9,point
2024-06-17 10:10:00 PM,74.4,74.8,75.6,65.8,point
2024-06-17 10:20:00 PM,75.3,73.2,76.5,66.1,point
2024-06-17 10:30:00 PM,75.4,73.0,76.6,66.1,point
2024-06-17 10:40:00 PM,75.3,73.1,76.5,66.1,point
2024-06-17 10:50:00 PM,75.1,73.8,76.5,66.2,point
2024-06-17 11:00:00 PM,75.1,73.9,76.5,66.2,point
2024-06-17 11:10:00 PM,75.2,74.2,76.5,66.4,point
2024-06-17 11:20:00 PM,74.7,75.2,76.1,66.4,point
2024-06-17 11:30:00 PM,73.7,77.2,75.0,66.1,point
2024-06-17 11:40:00 PM,73.0,79.4,74.5,66.3,point
2024-06-17 11:50:00 PM,72.2,81.2,73.6,66.1,point
2024-06-18 12:00:00 AM,71.3,83.1,72.7,65.9,point
2024-06-18 12:10:00 AM,71.0,84.3,72.3,66.0,point
2024-06-18 12:20:00 AM,70.5,85.9,71.6,66.1,point
